batch_id,product_type,quantity_kg,processing_date,origin,destination,required_temp_min,required_temp_max,export_date,shipment_id,compliance_status
BTC-SEA-5040,Pacific Oysters (Live Shellstock),2982.6,2026-08-31,Seattle Pier 91 Logistics Center (WA),Singapore Changi Freight Hub (SIN - Singapore),1.0,5.0,2026-09-01,SHP-2026-140,CRITICAL
BTC-SEA-5041,Maine Lobster (Live),3506.1,2026-08-31,Kodiak Island Seafood Dock (AK),Los Angeles Int'l Cargo Center (LAX - USA),2.0,6.0,2026-09-01,SHP-2026-141,WARNING
BTC-SEA-5042,Pacific Oysters (Live Shellstock),2109.1,2026-08-31,Boston Harbor Freight Terminal (MA),Frankfurt Airport Cold Logistics (FRA - Germany),1.0,5.0,2026-09-01,SHP-2026-142,NORMAL
BTC-SEA-5043,Yellowfin Tuna (Super-Frozen),551.3,2026-08-31,Portland Marine Terminal (OR),Frankfurt Airport Cold Logistics (FRA - Germany),-55.0,-50.0,2026-09-01,SHP-2026-143,NORMAL
BTC-SEA-5044,Atlantic Salmon (Fresh),1571.6,2026-08-31,Seattle Pier 91 Logistics Center (WA),Shanghai Pudong Int'l Freight Hub (PVG - China),0.0,3.5,2026-09-01,SHP-2026-144,NORMAL
BTC-SEA-5045,Yellowfin Tuna (Super-Frozen),1558.4,2026-09-01,Seattle Pier 91 Logistics Center (WA),Los Angeles Int'l Cargo Center (LAX - USA),-55.0,-50.0,2026-09-02,SHP-2026-145,NORMAL
BTC-SEA-5046,Black Tiger Shrimp (Chilled),574.4,2026-09-01,Vancouver Pacific Processing Hub (BC),Shanghai Pudong Int'l Freight Hub (PVG - China),0.5,4.0,2026-09-02,SHP-2026-146,NORMAL
BTC-SEA-5047,King Crab Legs (Cooked/Frozen),3191.7,2026-09-01,Vancouver Pacific Processing Hub (BC),Seoul Incheon Cargo Terminal (ICN - South Korea),-24.0,-18.0,2026-09-02,SHP-2026-147,NORMAL
BTC-SEA-5048,Pacific Cod (Frozen Fillets),2113.7,2026-09-01,Seattle Pier 91 Logistics Center (WA),Frankfurt Airport Cold Logistics (FRA - Germany),-22.0,-18.0,2026-09-02,SHP-2026-148,NORMAL
BTC-SEA-5049,Pacific Cod (Frozen Fillets),999.0,2026-09-01,Kodiak Island Seafood Dock (AK),Singapore Changi Freight Hub (SIN - Singapore),-22.0,-18.0,2026-09-02,SHP-2026-149,CRITICAL
BTC-SEA-5050,Black Tiger Shrimp (Chilled),1578.3,2026-09-01,Vancouver Pacific Processing Hub (BC),Frankfurt Airport Cold Logistics (FRA - Germany),0.5,4.0,2026-09-02,SHP-2026-150,WARNING
BTC-SEA-5051,Black Tiger Shrimp (Chilled),710.5,2026-09-01,Portland Marine Terminal (OR),Shanghai Pudong Int'l Freight Hub (PVG - China),0.5,4.0,2026-09-02,SHP-2026-151,NORMAL
BTC-SEA-5052,Black Tiger Shrimp (Chilled),2404.5,2026-09-01,Boston Harbor Freight Terminal (MA),Tokyo Haneda Cargo Center (HND - Japan),0.5,4.0,2026-09-02,SHP-2026-152,NORMAL
BTC-SEA-5053,Yellowfin Tuna (Super-Frozen),1354.5,2026-09-01,Vancouver Pacific Processing Hub (BC),Singapore Changi Freight Hub (SIN - Singapore),-55.0,-50.0,2026-09-02,SHP-2026-153,NORMAL
BTC-SEA-5054,Maine Lobster (Live),3692.0,2026-09-01,Boston Harbor Freight Terminal (MA),Shanghai Pudong Int'l Freight Hub (PVG - China),2.0,6.0,2026-09-02,SHP-2026-154,NORMAL
BTC-SEA-5055,Atlantic Salmon (Fresh),2257.4,2026-09-01,Vancouver Pacific Processing Hub (BC),Los Angeles Int'l Cargo Center (LAX - USA),0.0,3.5,2026-09-02,SHP-2026-155,NORMAL
BTC-SEA-5056,Pacific Cod (Frozen Fillets),1076.3,2026-09-01,Kodiak Island Seafood Dock (AK),Los Angeles Int'l Cargo Center (LAX - USA),-22.0,-18.0,2026-09-02,SHP-2026-156,CRITICAL
BTC-SEA-5057,Pacific Oysters (Live Shellstock),1898.0,2026-09-02,Vancouver Pacific Processing Hub (BC),Singapore Changi Freight Hub (SIN - Singapore),1.0,5.0,2026-09-03,SHP-2026-157,CRITICAL
BTC-SEA-5058,Pacific Cod (Frozen Fillets),785.6,2026-09-02,Boston Harbor Freight Terminal (MA),Tokyo Haneda Cargo Center (HND - Japan),-22.0,-18.0,2026-09-03,SHP-2026-158,NORMAL
BTC-SEA-5059,Atlantic Salmon (Fresh),3319.7,2026-09-02,Seattle Pier 91 Logistics Center (WA),Los Angeles Int'l Cargo Center (LAX - USA),0.0,3.5,2026-09-03,SHP-2026-159,WARNING
BTC-SEA-5060,Maine Lobster (Live),793.1,2026-09-02,Portland Marine Terminal (OR),Singapore Changi Freight Hub (SIN - Singapore),2.0,6.0,2026-09-03,SHP-2026-160,NORMAL
BTC-SEA-5061,Yellowfin Tuna (Super-Frozen),1074.5,2026-09-02,Boston Harbor Freight Terminal (MA),Frankfurt Airport Cold Logistics (FRA - Germany),-55.0,-50.0,2026-09-03,SHP-2026-161,NORMAL
BTC-SEA-5062,Pacific Oysters (Live Shellstock),3464.9,2026-09-02,Portland Marine Terminal (OR),Tokyo Haneda Cargo Center (HND - Japan),1.0,5.0,2026-09-03,SHP-2026-162,NORMAL
BTC-SEA-5063,Yellowfin Tuna (Super-Frozen),2810.7,2026-09-02,Portland Marine Terminal (OR),Shanghai Pudong Int'l Freight Hub (PVG - China),-55.0,-50.0,2026-09-03,SHP-2026-163,CRITICAL
BTC-SEA-5064,Yellowfin Tuna (Super-Frozen),3891.4,2026-09-02,Seattle Pier 91 Logistics Center (WA),Singapore Changi Freight Hub (SIN - Singapore),-55.0,-50.0,2026-09-03,SHP-2026-164,NORMAL
BTC-SEA-5065,Black Tiger Shrimp (Chilled),2898.1,2026-09-02,Seattle Pier 91 Logistics Center (WA),Los Angeles Int'l Cargo Center (LAX - USA),0.5,4.0,2026-09-03,SHP-2026-165,WARNING
BTC-SEA-5066,Pacific Oysters (Live Shellstock),2364.8,2026-09-02,Boston Harbor Freight Terminal (MA),Tokyo Haneda Cargo Center (HND - Japan),1.0,5.0,2026-09-03,SHP-2026-166,NORMAL
BTC-DEMO-999,Black Tiger Shrimp (Chilled),2500.0,2026-09-04,Portland Marine Cold Terminal,Los Angeles Cold Logistics Center,0.0,4.0,2026-09-05,SHP-DEMO-2026-999,NORMAL
