route_id,shipment_id,event_type,timestamp,location,delay_minutes,route_status,notes
RTE-008-3,SHP-2026-108,Transit Checkpoint Alpha,2026-08-29 04:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-008-4,SHP-2026-108,Port / Airport Logistics Ramp,2026-08-29 11:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-008-5,SHP-2026-108,Export Inspection Dock,2026-08-29 17:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-008-6,SHP-2026-108,Final Aircraft / Vessel Loading,2026-08-29 21:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-009-1,SHP-2026-109,Batch Creation,2026-08-29 01:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-009-2,SHP-2026-109,Cold Storage Exit & Loading,2026-08-29 02:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-009-3,SHP-2026-109,Transit Checkpoint Alpha,2026-08-29 06:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-009-4,SHP-2026-109,Port / Airport Logistics Ramp,2026-08-29 13:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-009-5,SHP-2026-109,Export Inspection Dock,2026-08-29 19:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-009-6,SHP-2026-109,Final Aircraft / Vessel Loading,2026-08-29 23:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-010-1,SHP-2026-110,Batch Creation,2026-08-29 03:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-010-2,SHP-2026-110,Cold Storage Exit & Loading,2026-08-29 04:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-010-3,SHP-2026-110,Transit Checkpoint Alpha,2026-08-29 08:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-010-4,SHP-2026-110,Port / Airport Logistics Ramp,2026-08-29 15:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-010-5,SHP-2026-110,Export Inspection Dock,2026-08-29 21:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-010-6,SHP-2026-110,Final Aircraft / Vessel Loading,2026-08-30 01:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-011-1,SHP-2026-111,Batch Creation,2026-08-29 05:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-011-2,SHP-2026-111,Cold Storage Exit & Loading,2026-08-29 06:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-011-3,SHP-2026-111,Transit Checkpoint Alpha,2026-08-29 10:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-011-4,SHP-2026-111,Port / Airport Logistics Ramp,2026-08-29 17:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-011-5,SHP-2026-111,Export Inspection Dock,2026-08-29 23:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-011-6,SHP-2026-111,Final Aircraft / Vessel Loading,2026-08-30 03:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-012-1,SHP-2026-112,Batch Creation,2026-08-29 07:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-012-2,SHP-2026-112,Cold Storage Exit & Loading,2026-08-29 08:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-012-3,SHP-2026-112,Transit Checkpoint Alpha,2026-08-29 12:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-012-4,SHP-2026-112,Port / Airport Logistics Ramp,2026-08-29 19:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-012-5,SHP-2026-112,Export Inspection Dock,2026-08-30 01:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-012-6,SHP-2026-112,Final Aircraft / Vessel Loading,2026-08-30 05:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-013-1,SHP-2026-113,Batch Creation,2026-08-29 09:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-013-2,SHP-2026-113,Cold Storage Exit & Loading,2026-08-29 10:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-013-3,SHP-2026-113,Transit Checkpoint Alpha,2026-08-29 14:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-013-4,SHP-2026-113,Port / Airport Logistics Ramp,2026-08-29 21:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-013-5,SHP-2026-113,Export Inspection Dock,2026-08-30 03:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-013-6,SHP-2026-113,Final Aircraft / Vessel Loading,2026-08-30 07:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-014-1,SHP-2026-114,Batch Creation,2026-08-29 11:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-014-2,SHP-2026-114,Cold Storage Exit & Loading,2026-08-29 12:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-014-3,SHP-2026-114,Transit Checkpoint Alpha,2026-08-29 16:09 UTC,Stage 3 Location,92,DELAYED,Traffic congestion causing 92 min delay
RTE-014-4,SHP-2026-114,Port / Airport Logistics Ramp,2026-08-29 23:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-014-5,SHP-2026-114,Export Inspection Dock,2026-08-30 05:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-014-6,SHP-2026-114,Final Aircraft / Vessel Loading,2026-08-30 09:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-015-1,SHP-2026-115,Batch Creation,2026-08-29 13:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-015-2,SHP-2026-115,Cold Storage Exit & Loading,2026-08-29 14:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-015-3,SHP-2026-115,Transit Checkpoint Alpha,2026-08-29 18:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-015-4,SHP-2026-115,Port / Airport Logistics Ramp,2026-08-30 01:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-015-5,SHP-2026-115,Export Inspection Dock,2026-08-30 07:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-015-6,SHP-2026-115,Final Aircraft / Vessel Loading,2026-08-30 11:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-016-1,SHP-2026-116,Batch Creation,2026-08-29 15:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-016-2,SHP-2026-116,Cold Storage Exit & Loading,2026-08-29 16:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-016-3,SHP-2026-116,Transit Checkpoint Alpha,2026-08-29 20:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-016-4,SHP-2026-116,Port / Airport Logistics Ramp,2026-08-30 03:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-016-5,SHP-2026-116,Export Inspection Dock,2026-08-30 09:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-016-6,SHP-2026-116,Final Aircraft / Vessel Loading,2026-08-30 13:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-017-1,SHP-2026-117,Batch Creation,2026-08-29 17:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-017-2,SHP-2026-117,Cold Storage Exit & Loading,2026-08-29 18:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-017-3,SHP-2026-117,Transit Checkpoint Alpha,2026-08-29 22:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-017-4,SHP-2026-117,Port / Airport Logistics Ramp,2026-08-30 05:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-017-5,SHP-2026-117,Export Inspection Dock,2026-08-30 11:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-017-6,SHP-2026-117,Final Aircraft / Vessel Loading,2026-08-30 15:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-018-1,SHP-2026-118,Batch Creation,2026-08-29 19:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-018-2,SHP-2026-118,Cold Storage Exit & Loading,2026-08-29 20:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-018-3,SHP-2026-118,Transit Checkpoint Alpha,2026-08-30 00:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-018-4,SHP-2026-118,Port / Airport Logistics Ramp,2026-08-30 07:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-018-5,SHP-2026-118,Export Inspection Dock,2026-08-30 13:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-018-6,SHP-2026-118,Final Aircraft / Vessel Loading,2026-08-30 17:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-019-1,SHP-2026-119,Batch Creation,2026-08-29 21:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-019-2,SHP-2026-119,Cold Storage Exit & Loading,2026-08-29 22:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-019-3,SHP-2026-119,Transit Checkpoint Alpha,2026-08-30 02:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-019-4,SHP-2026-119,Port / Airport Logistics Ramp,2026-08-30 09:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-019-5,SHP-2026-119,Export Inspection Dock,2026-08-30 15:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-019-6,SHP-2026-119,Final Aircraft / Vessel Loading,2026-08-30 19:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-020-1,SHP-2026-120,Batch Creation,2026-08-29 23:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-020-2,SHP-2026-120,Cold Storage Exit & Loading,2026-08-30 00:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-020-3,SHP-2026-120,Transit Checkpoint Alpha,2026-08-30 04:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-020-4,SHP-2026-120,Port / Airport Logistics Ramp,2026-08-30 11:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-020-5,SHP-2026-120,Export Inspection Dock,2026-08-30 17:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-020-6,SHP-2026-120,Final Aircraft / Vessel Loading,2026-08-30 21:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-021-1,SHP-2026-121,Batch Creation,2026-08-30 01:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-021-2,SHP-2026-121,Cold Storage Exit & Loading,2026-08-30 02:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-021-3,SHP-2026-121,Transit Checkpoint Alpha,2026-08-30 06:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-021-4,SHP-2026-121,Port / Airport Logistics Ramp,2026-08-30 13:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-021-5,SHP-2026-121,Export Inspection Dock,2026-08-30 19:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-021-6,SHP-2026-121,Final Aircraft / Vessel Loading,2026-08-30 23:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-022-1,SHP-2026-122,Batch Creation,2026-08-30 03:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-022-2,SHP-2026-122,Cold Storage Exit & Loading,2026-08-30 04:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-022-3,SHP-2026-122,Transit Checkpoint Alpha,2026-08-30 08:09 UTC,Stage 3 Location,50,DELAYED,Traffic congestion causing 50 min delay
RTE-022-4,SHP-2026-122,Port / Airport Logistics Ramp,2026-08-30 15:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-022-5,SHP-2026-122,Export Inspection Dock,2026-08-30 21:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-022-6,SHP-2026-122,Final Aircraft / Vessel Loading,2026-08-31 01:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-023-1,SHP-2026-123,Batch Creation,2026-08-30 05:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-023-2,SHP-2026-123,Cold Storage Exit & Loading,2026-08-30 06:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-023-3,SHP-2026-123,Transit Checkpoint Alpha,2026-08-30 10:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-023-4,SHP-2026-123,Port / Airport Logistics Ramp,2026-08-30 17:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-023-5,SHP-2026-123,Export Inspection Dock,2026-08-30 23:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-023-6,SHP-2026-123,Final Aircraft / Vessel Loading,2026-08-31 03:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-024-1,SHP-2026-124,Batch Creation,2026-08-30 07:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-024-2,SHP-2026-124,Cold Storage Exit & Loading,2026-08-30 08:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-024-3,SHP-2026-124,Transit Checkpoint Alpha,2026-08-30 12:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-024-4,SHP-2026-124,Port / Airport Logistics Ramp,2026-08-30 19:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-024-5,SHP-2026-124,Export Inspection Dock,2026-08-31 01:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-024-6,SHP-2026-124,Final Aircraft / Vessel Loading,2026-08-31 05:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-025-1,SHP-2026-125,Batch Creation,2026-08-30 09:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-025-2,SHP-2026-125,Cold Storage Exit & Loading,2026-08-30 10:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-025-3,SHP-2026-125,Transit Checkpoint Alpha,2026-08-30 14:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-025-4,SHP-2026-125,Port / Airport Logistics Ramp,2026-08-30 21:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-025-5,SHP-2026-125,Export Inspection Dock,2026-08-31 03:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-025-6,SHP-2026-125,Final Aircraft / Vessel Loading,2026-08-31 07:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-026-1,SHP-2026-126,Batch Creation,2026-08-30 11:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-026-2,SHP-2026-126,Cold Storage Exit & Loading,2026-08-30 12:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-026-3,SHP-2026-126,Transit Checkpoint Alpha,2026-08-30 16:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-026-4,SHP-2026-126,Port / Airport Logistics Ramp,2026-08-30 23:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-026-5,SHP-2026-126,Export Inspection Dock,2026-08-31 05:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-026-6,SHP-2026-126,Final Aircraft / Vessel Loading,2026-08-31 09:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-027-1,SHP-2026-127,Batch Creation,2026-08-30 13:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-027-2,SHP-2026-127,Cold Storage Exit & Loading,2026-08-30 14:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-027-3,SHP-2026-127,Transit Checkpoint Alpha,2026-08-30 18:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-027-4,SHP-2026-127,Port / Airport Logistics Ramp,2026-08-31 01:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-027-5,SHP-2026-127,Export Inspection Dock,2026-08-31 07:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-027-6,SHP-2026-127,Final Aircraft / Vessel Loading,2026-08-31 11:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-028-1,SHP-2026-128,Batch Creation,2026-08-30 15:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-028-2,SHP-2026-128,Cold Storage Exit & Loading,2026-08-30 16:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-028-3,SHP-2026-128,Transit Checkpoint Alpha,2026-08-30 20:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-028-4,SHP-2026-128,Port / Airport Logistics Ramp,2026-08-31 03:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-028-5,SHP-2026-128,Export Inspection Dock,2026-08-31 09:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-028-6,SHP-2026-128,Final Aircraft / Vessel Loading,2026-08-31 13:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-029-1,SHP-2026-129,Batch Creation,2026-08-30 17:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-029-2,SHP-2026-129,Cold Storage Exit & Loading,2026-08-30 18:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-029-3,SHP-2026-129,Transit Checkpoint Alpha,2026-08-30 22:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-029-4,SHP-2026-129,Port / Airport Logistics Ramp,2026-08-31 05:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-029-5,SHP-2026-129,Export Inspection Dock,2026-08-31 11:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-029-6,SHP-2026-129,Final Aircraft / Vessel Loading,2026-08-31 15:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-030-1,SHP-2026-130,Batch Creation,2026-08-30 19:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-030-2,SHP-2026-130,Cold Storage Exit & Loading,2026-08-30 20:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-030-3,SHP-2026-130,Transit Checkpoint Alpha,2026-08-31 00:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-030-4,SHP-2026-130,Port / Airport Logistics Ramp,2026-08-31 07:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-030-5,SHP-2026-130,Export Inspection Dock,2026-08-31 13:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-030-6,SHP-2026-130,Final Aircraft / Vessel Loading,2026-08-31 17:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-031-1,SHP-2026-131,Batch Creation,2026-08-30 21:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-031-2,SHP-2026-131,Cold Storage Exit & Loading,2026-08-30 22:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-031-3,SHP-2026-131,Transit Checkpoint Alpha,2026-08-31 02:09 UTC,Stage 3 Location,0,ON_TIME,Normal transit progression
RTE-031-4,SHP-2026-131,Port / Airport Logistics Ramp,2026-08-31 09:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-031-5,SHP-2026-131,Export Inspection Dock,2026-08-31 15:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-031-6,SHP-2026-131,Final Aircraft / Vessel Loading,2026-08-31 19:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-032-1,SHP-2026-132,Batch Creation,2026-08-30 23:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-032-2,SHP-2026-132,Cold Storage Exit & Loading,2026-08-31 00:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-032-3,SHP-2026-132,Transit Checkpoint Alpha,2026-08-31 04:09 UTC,Stage 3 Location,83,DELAYED,Traffic congestion causing 83 min delay
RTE-032-4,SHP-2026-132,Port / Airport Logistics Ramp,2026-08-31 11:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
RTE-032-5,SHP-2026-132,Export Inspection Dock,2026-08-31 17:09 UTC,Stage 5 Location,0,ON_TIME,Normal transit progression
RTE-032-6,SHP-2026-132,Final Aircraft / Vessel Loading,2026-08-31 21:09 UTC,Stage 6 Location,0,SCHEDULED,Normal transit progression
RTE-033-1,SHP-2026-133,Batch Creation,2026-08-31 01:09 UTC,Stage 1 Location,0,COMPLETED,Normal transit progression
RTE-033-2,SHP-2026-133,Cold Storage Exit & Loading,2026-08-31 02:09 UTC,Stage 2 Location,0,COMPLETED,Normal transit progression
RTE-033-3,SHP-2026-133,Transit Checkpoint Alpha,2026-08-31 06:09 UTC,Stage 3 Location,77,DELAYED,Traffic congestion causing 77 min delay
RTE-033-4,SHP-2026-133,Port / Airport Logistics Ramp,2026-08-31 13:09 UTC,Stage 4 Location,0,ON_TIME,Normal transit progression
