sensor_id,sensor_type,status,battery_status,signal_status,last_calibration_date,calibration_due_date,calibration_status,accuracy_rating,technician
SNS-1015,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,70,FAIR,2026-08-13,2026-11-11,VALID,99.83,Elena Rostova (ISO Auditor)
SNS-1016,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,92,EXCELLENT,2026-07-08,2026-10-06,VALID,99.76,Dr. Sarah Chen (CQA)
SNS-1017,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,74,FAIR,2026-08-03,2026-11-01,VALID,98.95,Dr. Sarah Chen (CQA)
SNS-1018,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,93,GOOD,2026-08-12,2026-11-10,VALID,99.4,Marcus Vance (Lead Tech)
SNS-1019,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,66,GOOD,2026-07-28,2026-10-26,VALID,99.56,David Miller (Quality Ops)
SNS-1020,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,76,FAIR,2026-07-18,2026-10-16,VALID,98.52,David Miller (Quality Ops)
SNS-1021,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,77,GOOD,2026-07-03,2026-10-01,VALID,99.01,Dr. Sarah Chen (CQA)
SNS-1022,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,88,FAIR,2026-07-22,2026-10-20,VALID,99.0,David Miller (Quality Ops)
SNS-1023,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,81,GOOD,2026-07-24,2026-10-22,VALID,99.25,Aisha Patel (Calibration Eng)
SNS-1024,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,85,EXCELLENT,2026-08-12,2026-11-10,VALID,99.62,Marcus Vance (Lead Tech)
SNS-1025,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,85,FAIR,2026-08-10,2026-11-08,VALID,98.84,Elena Rostova (ISO Auditor)
SNS-1026,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,91,FAIR,2026-08-10,2026-11-08,VALID,98.83,Marcus Vance (Lead Tech)
SNS-1027,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,97,EXCELLENT,2026-08-16,2026-11-14,VALID,99.19,Marcus Vance (Lead Tech)
SNS-1028,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,75,GOOD,2026-08-05,2026-11-03,VALID,98.92,Aisha Patel (Calibration Eng)
SNS-1029,IoT Multi-Sensor (Temp/Humidity/GPS),WARNING,76,FAIR,2026-04-28,2026-07-27,EXPIRED,99.79,David Miller (Quality Ops)
SNS-1030,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,86,GOOD,2026-07-21,2026-10-19,VALID,99.84,David Miller (Quality Ops)
SNS-1031,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,67,FAIR,2026-08-17,2026-11-15,VALID,99.85,Marcus Vance (Lead Tech)
SNS-1032,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,97,GOOD,2026-07-25,2026-10-23,VALID,98.54,Dr. Sarah Chen (CQA)
SNS-1033,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,84,GOOD,2026-07-07,2026-10-05,VALID,99.86,Elena Rostova (ISO Auditor)
SNS-1034,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,99,GOOD,2026-07-11,2026-10-09,VALID,99.89,David Miller (Quality Ops)
SNS-1035,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,80,EXCELLENT,2026-07-05,2026-10-03,VALID,99.87,Elena Rostova (ISO Auditor)
SNS-1036,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,94,GOOD,2026-08-05,2026-11-03,VALID,99.12,Aisha Patel (Calibration Eng)
SNS-1037,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,86,EXCELLENT,2026-08-09,2026-11-07,VALID,98.72,Dr. Sarah Chen (CQA)
SNS-1038,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,88,EXCELLENT,2026-07-08,2026-10-06,VALID,99.42,David Miller (Quality Ops)
SNS-1039,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,94,FAIR,2026-07-05,2026-10-03,VALID,99.57,Aisha Patel (Calibration Eng)
SNS-1040,IoT Multi-Sensor (Temp/Humidity/GPS),WARNING,91,GOOD,2026-03-05,2026-06-03,EXPIRED,99.75,David Miller (Quality Ops)
SNS-1041,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,87,EXCELLENT,2026-08-03,2026-11-01,VALID,98.53,David Miller (Quality Ops)
SNS-1042,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,83,GOOD,2026-07-13,2026-10-11,VALID,98.93,Aisha Patel (Calibration Eng)
SNS-1043,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,70,EXCELLENT,2026-08-01,2026-10-30,VALID,98.88,Dr. Sarah Chen (CQA)
SNS-1044,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,82,GOOD,2026-07-16,2026-10-14,VALID,98.96,Marcus Vance (Lead Tech)
SNS-1045,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,85,EXCELLENT,2026-07-26,2026-10-24,VALID,98.95,David Miller (Quality Ops)
SNS-1046,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,95,GOOD,2026-07-15,2026-10-13,VALID,99.52,Aisha Patel (Calibration Eng)
SNS-1047,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,79,GOOD,2026-07-24,2026-10-22,VALID,98.57,Dr. Sarah Chen (CQA)
SNS-1048,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,77,GOOD,2026-08-05,2026-11-03,VALID,98.51,Aisha Patel (Calibration Eng)
SNS-1049,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,78,EXCELLENT,2026-07-23,2026-10-21,VALID,99.67,Aisha Patel (Calibration Eng)
SNS-1050,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,69,FAIR,2026-08-06,2026-11-04,VALID,99.47,Marcus Vance (Lead Tech)
SNS-1051,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,74,EXCELLENT,2026-07-12,2026-10-10,VALID,99.63,Aisha Patel (Calibration Eng)
SNS-1052,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,97,GOOD,2026-08-04,2026-11-02,VALID,98.96,Aisha Patel (Calibration Eng)
SNS-1053,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,92,EXCELLENT,2026-07-26,2026-10-24,VALID,99.0,Dr. Sarah Chen (CQA)
SNS-1054,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,98,GOOD,2026-08-17,2026-11-15,VALID,98.95,Aisha Patel (Calibration Eng)
SNS-1055,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,69,GOOD,2026-08-11,2026-11-09,VALID,98.87,Elena Rostova (ISO Auditor)
SNS-1056,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,100,FAIR,2026-07-03,2026-10-01,VALID,98.92,Marcus Vance (Lead Tech)
SNS-1057,IoT Multi-Sensor (Temp/Humidity/GPS),WARNING,80,FAIR,2026-02-19,2026-05-20,EXPIRED,98.57,Marcus Vance (Lead Tech)
SNS-1058,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,68,GOOD,2026-07-15,2026-10-13,VALID,99.61,Marcus Vance (Lead Tech)
SNS-1059,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,71,GOOD,2026-08-10,2026-11-08,VALID,99.87,Dr. Sarah Chen (CQA)
SNS-1060,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,97,FAIR,2026-07-06,2026-10-04,VALID,98.92,Aisha Patel (Calibration Eng)
SNS-1061,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,91,FAIR,2026-07-06,2026-10-04,VALID,98.67,Marcus Vance (Lead Tech)
SNS-1062,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,91,GOOD,2026-07-18,2026-10-16,VALID,98.77,Marcus Vance (Lead Tech)
SNS-1063,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,73,FAIR,2026-06-30,2026-09-28,VALID,99.68,Elena Rostova (ISO Auditor)
SNS-1064,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,89,EXCELLENT,2026-07-30,2026-10-28,VALID,98.69,David Miller (Quality Ops)
SNS-1065,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,84,FAIR,2026-07-18,2026-10-16,VALID,99.41,Elena Rostova (ISO Auditor)
SNS-1066,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,66,FAIR,2026-08-05,2026-11-03,VALID,99.29,Dr. Sarah Chen (CQA)
SNS-1067,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,88,EXCELLENT,2026-07-22,2026-10-20,VALID,99.51,Dr. Sarah Chen (CQA)
SNS-1068,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,76,EXCELLENT,2026-07-03,2026-10-01,VALID,99.0,Dr. Sarah Chen (CQA)
SNS-1069,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,95,FAIR,2026-08-18,2026-11-16,VALID,99.66,Dr. Sarah Chen (CQA)
SNS-1070,IoT Multi-Sensor (Temp/Humidity/GPS),ACTIVE,70,GOOD,2026-07-07,2026-10-05,VALID,98.98,Marcus Vance (Lead Tech)
SNS-DEMO-999,Multi-Sensor IoT Cold Logger,ACTIVE,95,STRONG,2026-08-20,2026-11-20,VALID,99.1,ISO Certified Lead Tech
