feedback_id,role,usability_rating,report_clarity,alert_usefulness,evidence_pack_usefulness,ease_of_navigation,comments,submitted_at,is_demo
20,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
21,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
22,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
23,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
24,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
25,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
26,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
27,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
28,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
29,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
30,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
31,Admin / Systems Lead,5,5,5,5,5,improve the time speed,2026-08-29 03:46:59,0
32,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
33,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
34,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
35,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
36,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
37,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
38,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
39,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
40,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
41,Compliance Officer,5,5,5,5,5,,2026-08-29 03:51:17,0
42,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
43,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
44,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
45,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
46,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
47,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
48,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
49,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
50,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
51,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
52,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
53,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
54,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
55,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
56,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
57,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
58,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
59,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
60,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
61,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
62,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
63,Compliance Officer,5,5,5,5,5,Automated audit report saves hours of manual paperwork.,2026-08-30 06:45:37,0
64,Compliance Officer,5,5,5,5,5,Automated audit report saves hours of manual paperwork.,2026-08-30 06:46:26,0
65,Compliance Officer,5,5,5,5,5,Automated audit report saves hours of manual paperwork.,2026-08-30 06:50:40,0
66,Compliance Officer,5,5,5,5,5,Automated audit report saves hours of manual paperwork.,2026-08-30 06:58:33,0
67,Compliance Officer,5,5,5,5,5,Automated audit report saves hours of manual paperwork.,2026-08-30 07:16:49,0
68,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
69,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
70,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
71,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
72,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
73,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
74,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
75,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
76,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
77,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
78,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
79,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
80,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
81,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
82,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
83,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
84,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
85,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
86,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
87,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
88,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
89,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
90,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
91,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
92,Compliance Officer,5,5,5,5,5,Automated audit report saves hours of manual paperwork.,2026-08-30 17:14:42,0
93,Compliance Officer,5,5,5,5,4,The automated evidence pack saved us 4 hours per shipment during export clearance!,2026-08-25 14:30 UTC,1
94,Transport Manager,4,4,5,4,5,The unsafe driver assignment alert prevented a severe safety violation at our hub.,2026-08-26 09:15 UTC,1
95,Lead ISO Auditor,5,5,4,5,5,"Audit reports contain every necessary calibration, custody, and sensor log line item.",2026-08-27 11:00 UTC,1
96,Compliance Officer,5,5,5,5,5,Automated audit report saves hours of manual paperwork.,2026-09-04 07:11:27,0
97,Compliance Officer,5,5,5,5,5,Automated audit report saves hours of manual paperwork.,2026-09-04 07:14:25,0
98,Compliance Officer,5,5,5,5,5,Automated audit report saves hours of manual paperwork.,2026-09-04 07:29:18,0
99,Compliance Officer,5,5,5,5,5,Automated audit report saves hours of manual paperwork.,2026-09-04 07:36:39,0
